show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
s262,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,Brazil,8/18/2021,2021,TV-14,97 min,"Comedies, International Movies, Romantic Movies"
s303,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,8/5/2021,2013,TV-MA,69 min,"Documentaries, International Movies"
s651,Movie,O Vendedor de Sonhos,Jayme Monjardim,Brazil,6/22/2021,2016,TV-14,96 min,"Dramas, International Movies"
s784,Movie,Carnaval,Leandro Neri,Brazil,6/2/2021,2021,TV-MA,95 min,"Comedies, International Movies, Music & Musicals"
s967,Movie,Get the Grift,Pedro Antonio,Brazil,4/28/2021,2021,TV-MA,95 min,"Comedies, International Movies"
s1189,Movie,Get the Goat,Vitor Brandt,Brazil,3/18/2021,2021,TV-14,98 min,"Action & Adventure, Comedies, International Movies"
s1404,Movie,Double Dad,Cris D'Amato,Brazil,1/15/2021,2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas"
s1602,Movie,Just Another Christmas,Roberto Santucci,Brazil,12/3/2020,2020,TV-MA,101 min,"Comedies, International Movies"
s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,Brazil,11/13/2020,2020,TV-PG,92 min,"Documentaries, International Movies"
s1745,Movie,The Beginning of Life,Estela Renner,Brazil,11/3/2020,2016,TV-PG,96 min,"Documentaries, International Movies"
s1799,Movie,Alice Junior,Gil Baroni,Brazil,10/23/2020,2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies"
s2051,Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Brazil,9/3/2020,2020,TV-MA,63 min,Stand-Up Comedy
s2198,Movie,Shine Your Eyes,Matias Mariani,Brazil,7/29/2020,2020,TV-MA,103 min,"Dramas, Independent Movies, International Movies"
s2303,Movie,Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Brazil,7/2/2020,2020,TV-MA,82 min,Stand-Up Comedy
s2564,Movie,Luccas Neto em: Acampamento de Férias 2,Lucas Margutti,Brazil,5/4/2020,2020,TV-G,81 min,"Children & Family Movies, Comedies, Music & Musicals"
s2602,Movie,Rich in Love,Bruno Garotti,Brazil,4/30/2020,2020,TV-14,105 min,"Comedies, International Movies, Romantic Movies"
s2680,Movie,Maurício Meirelles: Generating Chaos,Diego Pignataro,Brazil,4/16/2020,2020,TV-MA,63 min,Stand-Up Comedy
s5431,Movie,Marco Luque: Tamo Junto,Caio Cobra,Brazil,6/15/2017,2017,TV-MA,73 min,Stand-Up Comedy
s2849,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,Brazil,3/3/2020,2019,TV-Y,71 min,"Children & Family Movies, Comedies, Music & Musicals"
s3065,Movie,Luccas Neto in: Children's Day,Lucas Margutti,Brazil,1/1/2020,2019,TV-G,81 min,"Children & Family Movies, Comedies, Music & Musicals"
s3165,Movie,Nothing to Lose 2,Alexandre Avancini,Brazil,12/7/2019,2019,PG-13,97 min,"Dramas, Faith & Spirituality, International Movies"
s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,Brazil,11/5/2019,2019,TV-G,87 min,"Children & Family Movies, Comedies, Music & Musicals"
s3539,Movie,Elena,Petra Costa,Brazil,9/1/2019,2012,TV-MA,81 min,"Documentaries, International Movies"
s3557,Movie,Kardec,Wagner de Assis,Brazil,8/29/2019,2019,TV-14,110 min,"Dramas, Faith & Spirituality, International Movies"
s3592,Movie,Whindersson Nunes: Adult,Diego Pignataro,Brazil,8/15/2019,2019,TV-MA,69 min,Stand-Up Comedy
s3733,Movie,The Edge of Democracy,Petra Costa,Brazil,6/19/2019,2019,TV-14,122 min,"Documentaries, International Movies"
s3748,Movie,DJ Cinderella,Bruno Garotti,Brazil,6/14/2019,2019,TV-PG,95 min,"Children & Family Movies, Comedies"
s3930,Movie,Liss Pereira: Reteniendo líquidos,Fernando Ayllón,Brazil,4/10/2019,2019,TV-14,59 min,Stand-Up Comedy
s4101,Movie,Buddies,Marcelo Galvão,Brazil,2/15/2019,2012,TV-MA,103 min,"Comedies, Dramas, Independent Movies"
s4181,Movie,Old Lord Savanna,André D'Elia,Brazil,1/18/2019,2018,TV-14,96 min,"Documentaries, International Movies"
s4415,Movie,Ana e Vitória,Matheus Souza,Brazil,11/2/2018,2018,TV-MA,116 min,"Comedies, International Movies, LGBTQ Movies"
s4436,Movie,"Edmilson Filho: Notas, Comedy about Relationships",Halder Gomes,Brazil,11/1/2018,2017,TV-MA,80 min,Stand-Up Comedy
s4618,Movie,Paradise Lost,Monique Gardenberg,Brazil,9/29/2018,2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies"
s4766,Movie,Nothing to Lose,Alexandre Avancini,Brazil,7/20/2018,2018,PG,133 min,"Dramas, Faith & Spirituality, International Movies"
s4918,Movie,Fishtronaut: The Movie,"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba",Brazil,4/25/2018,2018,TV-Y,78 min,Children & Family Movies
s4924,Movie,All The Reasons To Forget,Pedro Coutinho,Brazil,4/19/2018,2017,TV-MA,90 min,"Comedies, Dramas, International Movies"
s5178,Movie,The Killer,Marcelo Galvão,Brazil,11/10/2017,2017,TV-MA,100 min,"Action & Adventure, International Movies"
s5455,Movie,Love.com,Anita Barbosa,Brazil,6/1/2017,2017,TV-MA,92 min,"Comedies, International Movies, Romantic Movies"
s5479,Movie,Laerte-se,"Lygia Barbosa da Silva, Eliane Brum",Brazil,5/19/2017,2017,TV-MA,101 min,"Documentaries, International Movies, LGBTQ Movies"
s5544,Movie,Couples Counseling,Alexandre Reinecke,Brazil,4/1/2017,2016,TV-MA,88 min,"Comedies, Dramas, International Movies"
s5560,Movie,Felipe Neto: My Life Makes No Sense,Diego Pignataro,Brazil,3/24/2017,2017,TV-MA,91 min,Stand-Up Comedy
s5589,Movie,Jonas,Lô Politi,Brazil,2/26/2017,2015,TV-MA,97 min,"Dramas, International Movies"
s5590,Movie,Operações Especiais,Tomas Portella,Brazil,2/25/2017,2015,TV-MA,99 min,"Action & Adventure, International Movies"
s5627,Movie,O Silêncio do Céu,Marco Dutra,Brazil,1/25/2017,2016,TV-MA,102 min,"Dramas, International Movies"
s5766,Movie,Chatô: The King of Brazil,Guilherme Fontes,Brazil,10/1/2016,2015,TV-MA,105 min,"Dramas, International Movies"
s6171,Movie,Another Forever,Juan Zapata,Brazil,3/21/2017,2016,TV-PG,72 min,"Dramas, Independent Movies, International Movies"
s6208,Movie,Back and Forth,José Eduardo Belmonte,Brazil,1/5/2017,2016,NR,95 min,"Comedies, Dramas, International Movies"
s6367,Movie,Boy and the World,Alê Abreu,Brazil,10/1/2017,2013,PG,80 min,Children & Family Movies
s6489,Movie,City of God,"Fernando Meirelles, Katia Lund",Brazil,1/1/2020,2002,R,130 min,"Dramas, Independent Movies, International Movies"
s6787,Movie,Forever Chape,Luis Ara,Brazil,8/2/2018,2018,TV-MA,74 min,"Documentaries, International Movies, Sports Movies"
s6820,Movie,Gabriel and the Mountain,Fellipe Barbosa,Brazil,11/9/2018,2017,TV-MA,132 min,"Dramas, Independent Movies, International Movies"
s7653,Movie,On Yoga The Architecture of Peace,Heitor Dhalia,Brazil,1/10/2018,2017,TV-14,92 min,"Documentaries, Faith & Spirituality"
s7819,Movie,Radical: the Controversial Saga of Dada Figueiredo,Raphael Erichsen,Brazil,4/12/2017,2013,TV-MA,71 min,"Documentaries, International Movies, Sports Movies"
s8109,Movie,Stronger Than the World,Afonso Poyart,Brazil,2/11/2017,2016,NR,123 min,"Action & Adventure, Dramas, International Movies"
s8301,Movie,The First Temptation of Christ,Rodrigo Van Der Put,Brazil,12/3/2019,2019,TV-MA,46 min,"Comedies, International Movies"
s8387,Movie,The Last Hangover,Rodrigo Van Der Put,Brazil,12/21/2018,2018,TV-MA,44 min,"Comedies, International Movies"
s1578,Movie,Emicida: AmarElo - It’s All For Yesterday,Not Given,Brazil,12/8/2020,2020,TV-MA,90 min,"Documentaries, International Movies, Music & Musicals"
s4632,Movie,Rafinha Bastos: Ultimatum,Not Given,Brazil,9/21/2018,2018,TV-MA,63 min,Stand-Up Comedy
s6049,Movie,A new Capitalism,Not Given,Brazil,6/12/2018,2017,TV-14,76 min,"Documentaries, International Movies"
